title,rating,type,duration
Love on the Spectrum,TV-14,TV Show,2 Seasons
Dive Club,TV-G,TV Show,1 Season
Bright Star,PG,Movie,119 min
Heroes of Goo Jit Zu,TV-Y7,TV Show,1 Season
In the Cut,R,Movie,118 min
Crocodile Dundee in Los Angeles,PG,Movie,95 min
The Piano,R,Movie,121 min
The Railway Man,R,Movie,108 min
A Second Chance:  Rivals!,PG,Movie,91 min
This Little Love Of Mine,TV-G,Movie,92 min
Tales by Light,TV-14,TV Show,3 Seasons
The New Legends of Monkey,TV-PG,TV Show,2 Seasons
Winchester,PG-13,Movie,100 min
Bureau of Magical Things,TV-G,TV Show,1 Season
Mary Magdalene,R,Movie,120 min
Why Are You Like This,TV-MA,TV Show,1 Season
Hating Peter Tatchell,TV-MA,Movie,91 min
Mystic River,R,Movie,138 min
Life in Color with David Attenborough,TV-PG,TV Show,1 Season
Izzy's Koala World,TV-Y,TV Show,2 Seasons
Pacific Rim: The Black,TV-14,TV Show,1 Season
The Bank Job,R,Movie,112 min
Penguin Bloom,TV-14,Movie,95 min
Shaun the Sheep,TV-Y,TV Show,2 Seasons
Quigley Down Under,PG-13,Movie,120 min
Heartbreak High,TV-14,TV Show,7 Seasons
Aunty Donna's Big Ol' House of Fun,TV-MA,TV Show,1 Season
Wrong Kind of Black,TV-MA,TV Show,1 Season
Zumbo's Just Desserts,TV-PG,TV Show,1 Season
I Am Woman,TV-MA,Movie,117 min
H2O: Just Add Water,TV-PG,TV Show,3 Seasons
Wentworth,TV-MA,TV Show,8 Seasons
Cleverman,TV-MA,TV Show,1 Season
Heidi,TV-Y7,TV Show,1 Season
Single Wives,TV-MA,TV Show,1 Season
Cursed,TV-MA,TV Show,1 Season
Urzila Carlson: Overqualified Loser,TV-MA,Movie,62 min
Stateless,TV-MA,TV Show,1 Season
Ride Like a Girl,PG,Movie,99 min
Mako Mermaids: An H2O Adventure,TV-G,TV Show,4 Seasons
Hannah Gadsby: Douglas,TV-MA,Movie,73 min
The Wiggles,TV-Y,TV Show,2 Seasons
Reckoning,TV-MA,TV Show,1 Season
Go Karts,TV-PG,Movie,103 min
The InBESTigators,TV-Y,TV Show,2 Seasons
Back of the Net,TV-Y,Movie,86 min
Iron Fists and Kung-Fu Kicks,TV-MA,Movie,108 min
The Deep,TV-Y7,TV Show,3 Seasons
The King,R,Movie,141 min
THE UNLISTED,TV-PG,TV Show,1 Season
Glitch,TV-MA,TV Show,3 Seasons
The Letdown,TV-MA,TV Show,2 Seasons
Beat Bugs,TV-Y,TV Show,3 Seasons
Yummy Mummies,TV-MA,TV Show,2 Seasons
