title,rating,type,duration
Birth of the Dragon,PG-13,Movie,96 min
A Cinderella Story,PG,Movie,95 min
Extraction,R,Movie,82 min
Level 16,TV-14,Movie,102 min
Open Season 2,PG,Movie,76 min
Wind River,R,Movie,107 min
Vivo,PG,Movie,100 min
Catch Me If You Can,PG-13,Movie,142 min
Cloudy with a Chance of Meatballs,PG,Movie,90 min
Good Luck Chuck,R,Movie,99 min
Open Season: Scared Silly,PG,Movie,85 min
Mighty Express,TV-Y,TV Show,4 Seasons
Wynonna Earp,TV-MA,TV Show,4 Seasons
Johnny Test,TV-Y7,TV Show,1 Season
Surf's Up,PG,Movie,86 min
American Woman,TV-MA,Movie,87 min
Ratchet and Clank,PG,Movie,94 min
Brick Mansions,PG-13,Movie,90 min
Between,TV-14,TV Show,2 Seasons
Kim's Convenience,TV-MA,TV Show,5 Seasons
My Little Pony: Friendship Is Magic,TV-Y,TV Show,8 Seasons
Some Assembly Required,TV-Y,TV Show,2 Seasons
Workin' Moms,TV-MA,TV Show,5 Seasons
The Sum of All Fears,PG-13,Movie,124 min
Underworld: Awakening,R,Movie,89 min
The Ice Road,PG-13,Movie,109 min
Schitt's Creek,TV-MA,TV Show,6 Seasons
Black Summer,TV-MA,TV Show,2 Seasons
Red Snow,TV-MA,Movie,96 min
Wish Dragon,PG,Movie,102 min
Copenhagen,TV-MA,Movie,99 min
Bliss,R,Movie,103 min
Cloudburst,TV-MA,Movie,93 min
Population 436,R,Movie,93 min
The Adventures of Sonic the Hedgehog,TV-Y7,TV Show,1 Season
The Magic School Bus,TV-Y,TV Show,1 Season
Table Manners,TV-MA,Movie,104 min
JT LeRoy,R,Movie,109 min
The Yeti Adventures,TV-PG,Movie,85 min
Oloibiri,TV-14,Movie,86 min
Miss Sloane,R,Movie,132 min
Crimson Peak,R,Movie,119 min
Slasher,TV-MA,TV Show,3 Seasons
Escape from Planet Earth,PG,Movie,89 min
An American Girl: McKenna Shoots for the Stars,TV-Y,Movie,94 min
Insidious,PG-13,Movie,103 min
Into the Grizzly Maze,R,Movie,90 min
Made You Look: A True Story About Fake Art,TV-14,Movie,90 min
The Conjuring 2,R,Movie,134 min
Heartland,TV-14,TV Show,13 Seasons
Total Drama,TV-PG,TV Show,7 Seasons
Blown Away,TV-14,TV Show,2 Seasons
The Magicians,TV-MA,TV Show,5 Seasons
Charming,TV-Y7,Movie,85 min
Leap!,PG,Movie,89 min
Pieces of a Woman,R,Movie,128 min
Case 39,R,Movie,111 min
The Cat in the Hat Knows a Lot About That!,TV-Y,TV Show,1 Season
Rango,PG,Movie,110 min
The Magic School Bus Rides Again In the Zone,TV-Y,Movie,46 min
Braven,R,Movie,94 min
Bwakaw,TV-MA,Movie,110 min
Grizzlies,R,Movie,106 min
Hilda,TV-Y7,TV Show,2 Seasons
