title,rating,type,duration
Lift Like a Girl,TV-PG,Movie,93 min
LEGO Friends: The Power of Friendship,TV-Y7,TV Show,2 Seasons
Copenhagen,TV-MA,Movie,99 min
Ragnarok,TV-MA,TV Show,2 Seasons
Ibrahim a Fate to Define,TV-PG,Movie,75 min
Equinox,TV-MA,TV Show,1 Season
LEGO Ninjago: Masters of Spinjitzu,TV-Y7,TV Show,10 Seasons
LEGO: CITY Adventures,TV-Y,TV Show,1 Season
Zozo,TV-MA,Movie,99 min
Borgen,TV-MA,TV Show,3 Seasons
Rita,TV-MA,TV Show,5 Seasons
The Rain,TV-MA,TV Show,3 Seasons
The Little Vampire,TV-G,Movie,83 min
"Nisman: The Prosecutor, the President, and the Spy",TV-MA,TV Show,1 Season
The Danish Girl,R,Movie,120 min
Olmo & the Seagull,TV-MA,Movie,82 min
Born in Syria,TV-14,Movie,87 min
A Fortunate Man,TV-MA,Movie,168 min
Hjørdis,TV-MA,TV Show,1 Season
Battle,TV-MA,Movie,98 min
Warrior,TV-MA,TV Show,1 Season
A Sort of Family,TV-14,Movie,96 min
Strong Island,TV-MA,Movie,108 min
The Day Will Come,TV-14,TV Show,1 Season
Amanda Knox,TV-MA,Movie,92 min
Just Another Love Story,TV-MA,Movie,104 min
300 Miles to Heaven,TV-14,Movie,93 min
A Family Affair,TV-PG,Movie,111 min
Big Time,TV-MA,Movie,90 min
Bobbi Jene,TV-MA,Movie,99 min
Bugs,TV-G,Movie,73 min
Democrats,NR,Movie,99 min
Domino,R,Movie,89 min
Ginger & Rosa,PG-13,Movie,90 min
Good People,R,Movie,90 min
Herrens veje,TV-MA,TV Show,2 Seasons
Kon-Tiki,PG-13,Movie,96 min
Kraftidioten,TV-MA,Movie,117 min
Lego Friends: Girls on a Mission,TV-Y,TV Show,1 Season
LEGO Ninjago: Masters of Spinjitzu: Day of the Departed,TV-Y7-FV,Movie,44 min
Nymphomaniac: Volume 1,NR,Movie,117 min
Nymphomaniac: Volume II,TV-MA,Movie,124 min
Only God Forgives,R,Movie,90 min
Summer of '92,TV-MA,Movie,94 min
The Incredible Story of the Giant Pear,TV-G,Movie,75 min
The Look of Silence,PG-13,Movie,103 min
The Model,TV-MA,Movie,104 min
The Salvation,R,Movie,92 min
