title,rating,type,duration
Paranoia,PG-13,Movie,106 min
The Women and the Murderer,TV-14,Movie,92 min
On the Verge,TV-MA,TV Show,1 Season
Bright Star,PG,Movie,119 min
In the Cut,R,Movie,118 min
Cliffhanger,R,Movie,113 min
2 Alone in Paris,TV-MA,Movie,97 min
The Piano,R,Movie,121 min
Gone for Good,TV-MA,TV Show,1 Season
The Swarm,TV-14,Movie,102 min
The Losers,PG-13,Movie,97 min
The Machinist,R,Movie,102 min
Eyes of a Thief,TV-14,Movie,103 min
The Operative,TV-MA,Movie,117 min
Brick Mansions,PG-13,Movie,90 min
A Land Imagined,TV-MA,Movie,95 min
Code Lyoko,TV-Y7,TV Show,4 Seasons
Mortel,TV-MA,TV Show,2 Seasons
Memoirs of a Geisha,PG-13,Movie,145 min
The Queen,PG-13,Movie,103 min
The Tourist,PG-13,Movie,103 min
Wonder Boy,TV-14,Movie,83 min
Call My Agent!,TV-MA,TV Show,4 Seasons
Lupin,TV-MA,TV Show,2 Seasons
Tragic Jungle,TV-MA,Movie,97 min
Ninja Assassin,R,Movie,99 min
The Interpreter,PG-13,Movie,128 min
The Day I lost My Shadow,TV-MA,Movie,91 min
Oxygen,TV-14,Movie,102 min
And Tomorrow the Entire World,TV-MA,Movie,112 min
Green Zone,R,Movie,115 min
Stargate,PG-13,Movie,121 min
State of Play,PG-13,Movie,127 min
Under Siege,R,Movie,102 min
Miss Sloane,R,Movie,132 min
PJ Masks,TV-Y,TV Show,3 Seasons
Power Players,TV-Y,TV Show,3 Seasons
Madame Claude,TV-MA,Movie,113 min
Wild Child,PG-13,Movie,98 min
The Pianist,R,Movie,149 min
At Eternity's Gate,PG-13,Movie,111 min
Mandela: Long Walk to Freedom,PG-13,Movie,141 min
Croupier,TV-MA,Movie,95 min
Philomena,PG-13,Movie,98 min
Dealer,TV-MA,TV Show,1 Season
Bombay Rose,PG-13,Movie,97 min
Sentinelle,TV-MA,Movie,81 min
Bigfoot Family,TV-Y7,Movie,88 min
The Misadventures of Hedi and Cokeman,TV-MA,Movie,99 min
Blanche Gardin: I talk to myself,TV-MA,Movie,88 min
Total Drama,TV-PG,TV Show,7 Seasons
Zig & Sharko,TV-Y7,TV Show,2 Seasons
The Next Three Days,PG-13,Movie,133 min
The Intouchables,R,Movie,112 min
Is Love Enough? Sir,TV-MA,Movie,99 min
Leap!,PG,Movie,89 min
Tony Parker: The Final Shot,TV-14,Movie,99 min
Unknown,PG-13,Movie,113 min
DNA,TV-MA,Movie,91 min
Shaun the Sheep,TV-Y,TV Show,2 Seasons
The Professor and the Madman,TV-14,Movie,125 min
Grizzy et les Lemmings,TV-Y,TV Show,2 Seasons
Room 2806: The Accusation,TV-MA,TV Show,1 Season
Break,TV-MA,Movie,96 min
3 Days to Kill,PG-13,Movie,117 min
The Da Vinci Code,PG-13,Movie,149 min
We Are All For The Fatherland,TV-14,Movie,74 min
The Endless Trench,TV-MA,Movie,148 min
LEGO: CITY Adventures,TV-Y,TV Show,1 Season
Snowden,R,Movie,134 min
The Garfield Show,TV-Y,TV Show,4 Seasons
Rogue City,TV-MA,Movie,116 min
Heritages,TV-14,Movie,96 min
Out of Life,TV-MA,Movie,94 min
The Kite,TV-MA,Movie,76 min
The Little Wars,TV-14,Movie,108 min
Under the Bombs,TV-MA,Movie,94 min
West Beirut,TV-MA,Movie,106 min
Whispers,TV-14,Movie,93 min
La Révolution,TV-MA,TV Show,1 Season
Bigflo & Oli: Hip Hop Frenzy,TV-MA,Movie,100 min
GIMS: On the Record,TV-MA,Movie,96 min
Criminal: UK,TV-MA,TV Show,2 Seasons
The Take,R,Movie,92 min
Raising Victor Vargas,R,Movie,88 min
The Smurfs 2,PG,Movie,105 min
Family Business,TV-MA,TV Show,2 Seasons
Cuties,TV-MA,Movie,96 min
H,TV-MA,TV Show,4 Seasons
Heidi,TV-Y7,TV Show,1 Season
The Smurfs,PG,Movie,103 min
An Easy Girl,TV-MA,Movie,93 min
Simon Killer,TV-MA,Movie,105 min
Anelka: Misunderstood,TV-14,Movie,95 min
Shine Your Eyes,TV-MA,Movie,103 min
Funan,TV-14,Movie,87 min
Gigantosaurus,TV-Y,TV Show,1 Season
MILF,TV-MA,Movie,102 min
We Are One,TV-MA,Movie,86 min
Dr. Seuss' The Lorax,PG,Movie,86 min
I Am Not Your Negro,PG-13,Movie,94 min
The Silence of Others,TV-14,Movie,96 min
Trotro,TV-Y,TV Show,1 Season
Destiny,TV-14,Movie,136 min
Lost Bullet,TV-MA,Movie,93 min
The Emigrant,TV-14,Movie,130 min
Wasp Network,TV-MA,Movie,128 min
Alexandria: Again and Forever,TV-MA,Movie,109 min
F is for Family,TV-MA,TV Show,4 Seasons
The Other,TV-MA,Movie,106 min
Inhuman Resources,TV-MA,TV Show,1 Season
Bordertown,TV-MA,TV Show,3 Seasons
The Eddy,TV-MA,TV Show,1 Season
Get In,TV-MA,Movie,98 min
Medici: Masters of Florence,TV-MA,TV Show,3 Seasons
The Artist,PG-13,Movie,101 min
Earth and Blood,TV-MA,Movie,81 min
Fary : Hexagone,TV-MA,TV Show,2 Seasons
School Life,TV-MA,Movie,112 min
The Death of Stalin,R,Movie,107 min
Vampires,TV-MA,TV Show,1 Season
I am Jonas,TV-MA,Movie,82 min
Aurora,TV-MA,Movie,186 min
Hugo,PG,Movie,127 min
Voulez-vous rire avec moi ce soir?,TV-MA,Movie,93 min
By the Sea,R,Movie,122 min
A Shaun the Sheep Movie: Farmageddon,G,Movie,87 min
Miraculous: Tales of Ladybug & Cat Noir,TV-Y7,TV Show,5 Seasons
Gang of the Caribbean,TV-MA,Movie,86 min
Close Enemies,TV-MA,Movie,112 min
The Bling Ring,R,Movie,91 min
Hop,PG,Movie,95 min
Legend,R,Movie,132 min
Eye For An Eye,TV-MA,Movie,108 min
The Ollie & Moon Show,TV-Y,TV Show,1 Season
Until Dawn,TV-MA,TV Show,1 Season
The Bonfire of Destiny,TV-MA,TV Show,1 Season
MFKZ,R,Movie,95 min
Twice Upon A Time,TV-MA,TV Show,1 Season
Wandering Stars,TV-MA,Movie,95 min
Atlantics,TV-14,Movie,106 min
I Lost My Body,TV-MA,Movie,81 min
Mythomaniac,TV-MA,TV Show,1 Season
Brother,TV-MA,Movie,97 min
Who Killed Little Gregory?,TV-MA,TV Show,1 Season
Suffragette,PG-13,Movie,107 min
Fadily Camara : La plus drôle de tes copines,TV-MA,Movie,54 min
Paradise Beach,TV-MA,Movie,94 min
Ad Vitam,TV-MA,TV Show,1 Season
Nailed It! France,TV-14,TV Show,1 Season
The Command,PG-13,Movie,118 min
Street Flow,TV-MA,Movie,96 min
The Hook Up Plan,TV-MA,TV Show,2 Seasons
The Influence,TV-MA,Movie,102 min
Marianne,TV-MA,TV Show,1 Season
The Spy,TV-MA,TV Show,1 Season
Olmo & the Seagull,TV-MA,Movie,82 min
Girls With Balls,TV-MA,Movie,77 min
Cities of Last Things,TV-MA,Movie,106 min
Point Blank,TV-MA,Movie,87 min
Molang,TV-Y,TV Show,1 Season
Rabbids Invasion,TV-Y7,TV Show,1 Season
The Wolf's Call,TV-14,Movie,116 min
Black Spot,TV-MA,TV Show,2 Seasons
Pachamama,PG,Movie,71 min
Shéhérazade,TV-MA,Movie,111 min
The Ruthless,TV-MA,Movie,111 min
Hazaaron Khwaishein Aisi,TV-MA,Movie,111 min
Osmosis,TV-MA,TV Show,1 Season
Versailles,TV-MA,TV Show,3 Seasons
