title,rating,type,duration
Initial D,TV-14,Movie,109 min
Love in a Puff,TV-MA,Movie,103 min
Marshall,PG-13,Movie,118 min
Ratchet and Clank,PG,Movie,94 min
The Professor and the Madman,TV-14,Movie,125 min
Peppermint,R,Movie,102 min
Adrift,PG-13,Movie,96 min
Ip Man 4: The Finale,TV-MA,Movie,105 min
Shadow,TV-14,Movie,116 min
Master Z: The Ip Man Legacy,TV-14,Movie,108 min
A Plastic Ocean,TV-14,Movie,100 min
The Grandmaster,PG-13,Movie,108 min
Drink Drank Drunk,TV-MA,Movie,92 min
Let's Eat 2,TV-MA,TV Show,1 Season
The Beast Stalker,TV-14,Movie,110 min
The Midas Touch,TV-14,Movie,98 min
The Twins Effect II,TV-14,Movie,106 min
Twins Mission,TV-MA,Movie,102 min
Sexy Central,TV-MA,TV Show,1 Season
We Are Legends,TV-14,Movie,109 min
The Defected,TV-14,TV Show,1 Season
The Great Magician,TV-14,Movie,128 min
A Home with A View,TV-MA,Movie,92 min
Hong Kong West Side Stories,TV-MA,TV Show,1 Season
Love Off the Cuff,TV-MA,Movie,120 min
A Beautiful Life,TV-14,Movie,122 min
Accident,TV-MA,Movie,87 min
Blind Detective,TV-MA,Movie,130 min
Break Up 100,TV-14,Movie,105 min
Don't Go Breaking My Heart,TV-PG,Movie,115 min
Don't Go Breaking My Heart 2,TV-14,Movie,113 min
Helios,TV-14,Movie,118 min
Line Walker,TV-MA,Movie,109 min
Look for a Star,TV-14,Movie,117 min
Once a Gangster,TV-MA,Movie,95 min
SDU: Sex Duties Unit,TV-MA,Movie,96 min
"All's Well, End's Well (2009)",TV-14,Movie,99 min
Dragon Tiger Gate,TV-14,Movie,94 min
S Storm,TV-MA,Movie,95 min
Manhunt,TV-MA,Movie,109 min
Ip Man 3,PG-13,Movie,105 min
Ip Man,R,Movie,107 min
Ip Man 2,R,Movie,108 min
14 Blades,R,Movie,113 min
Casino Tycoon,TV-MA,Movie,125 min
Casino Tycoon 2,TV-MA,Movie,108 min
Chasing the Dragon,TV-MA,Movie,129 min
Cloud Atlas,R,Movie,172 min
"Crouching Tiger, Hidden Dragon",PG-13,Movie,120 min
Di Renjie zhi Sidatianwang,TV-14,Movie,132 min
Disciples Of The 36th Chamber,TV-14,Movie,90 min
Doubles Cause Troubles,TV-14,Movie,94 min
Enter the Dragon,R,Movie,103 min
Five Elements Ninjas,R,Movie,104 min
Flying Guillotine 2,TV-MA,Movie,88 min
God of War,NR,Movie,129 min
Hero,TV-MA,Movie,89 min
Iceman,R,Movie,104 min
"Justice, My Foot!",TV-14,Movie,95 min
Kung Fu Hustle,R,Movie,99 min
Lady Bloodfight,R,Movie,101 min
Legendary Weapons of China,TV-14,Movie,101 min
Lifeline,TV-14,Movie,104 min
Little Dragon Maiden,TV-14,Movie,92 min
"Look Out, Officer",TV-14,Movie,88 min
Love In A Puff,TV-MA,Movie,103 min
Love on Delivery,TV-14,Movie,93 min
Loving You,TV-14,Movie,79 min
Mad World,TV-MA,Movie,102 min
Mahjong Heroes,TV-PG,Movie,92 min
Man of Tai Chi,R,Movie,105 min
Martial Arts of Shaolin,R,Movie,90 min
May We Chat,TV-MA,Movie,99 min
Mr. Virgin,TV-14,Movie,86 min
"My Schoolmate, the Barbarian",TV-14,Movie,90 min
OCTB,TV-14,TV Show,1 Season
On the Wrong Track,TV-14,Movie,89 min
Operation Mekong,TV-MA,Movie,124 min
Operation Red Sea,TV-MA,Movie,139 min
Opium and the Kung Fu Master,TV-MA,Movie,86 min
Painted Faces,TV-PG,Movie,108 min
Prince Charming,TV-14,Movie,93 min
Return To The 36th Chamber,R,Movie,97 min
Revenge of the Green Dragons,R,Movie,95 min
Rumble in the Bronx,R,Movie,89 min
Secret,TV-PG,Movie,101 min
Shark Busters,TV-14,Movie,92 min
Skiptrace,PG-13,Movie,107 min
Sky on Fire,TV-MA,Movie,100 min
Sword Master,TV-MA,Movie,108 min
Sword Masters: Two Champions of Shaolin,R,Movie,101 min
Teenage Mutant Ninja Turtles,PG,Movie,87 min
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,PG,Movie,88 min
Ten Years,TV-MA,Movie,102 min
The Bare-Footed Kid,TV-14,Movie,83 min
The Bund,TV-14,Movie,103 min
The Departed,R,Movie,151 min
The Drowning,TV-MA,Movie,99 min
The Five Venoms,R,Movie,97 min
The Flying Guillotine,TV-MA,Movie,101 min
The Mad Monk,TV-14,Movie,85 min
The Young Vagabond,TV-14,Movie,85 min
Three,TV-MA,Movie,88 min
Weeds on Fire,TV-MA,Movie,95 min
Young Tiger,NR,Movie,81 min
