title,rating,type,duration
A Perfect Fit,TV-PG,Movie,113 min
Si Doel the Movie 2,TV-G,Movie,95 min
Trese,TV-MA,TV Show,1 Season
Story of Kale: When Someone's in Love,TV-PG,Movie,78 min
Tersanjung the Movie,TV-14,Movie,114 min
Generasi 90an: Melankolia,TV-14,Movie,94 min
Mariposa,TV-14,Movie,116 min
Geez & Ann,TV-PG,Movie,106 min
Layla Majnun,TV-14,Movie,119 min
June & Kopi,TV-PG,Movie,90 min
Tanda Tanya,TV-MA,Movie,102 min
The Heartbreak Club,TV-14,Movie,101 min
100% Halal,TV-14,Movie,101 min
Tarung Sarung,TV-PG,Movie,116 min
Too Handsome to Handle,TV-14,Movie,106 min
Bridezilla,TV-MA,Movie,94 min
Cemara's Family,TV-G,Movie,110 min
Eggnoid: Love & Time Portal,TV-14,Movie,102 min
Check The Store Next Door: The Next Chapter,TV-14,TV Show,2 Seasons
Kartini: Princess of Java,TV-PG,Movie,118 min
Love Like the Falling Rain,TV-14,Movie,87 min
Whipped,TV-14,Movie,98 min
Satria Heroes: Revenge of the Darkness,TV-G,Movie,92 min
Ave Maryam,TV-PG,Movie,73 min
Crazy Awesome Teachers,TV-PG,Movie,102 min
Islands of Faith,TV-PG,Movie,88 min
Hunter in the Blue Side of Manchester,TV-MA,Movie,89 min
#FriendButMarried 2,TV-G,Movie,104 min
Milea,TV-14,Movie,100 min
One Day We'll Talk About Today,TV-G,Movie,128 min
Si Doel the Movie 3,TV-G,Movie,93 min
#FriendButMarried,TV-G,Movie,102 min
Dilan 1990,TV-14,Movie,109 min
Dilan 1991,TV-14,Movie,118 min
Si Doel the Movie,TV-PG,Movie,86 min
My Stupid Boss,TV-G,Movie,107 min
My Stupid Boss 2,TV-14,Movie,95 min
This Earth of Mankind,TV-14,Movie,180 min
Love for Sale 2,TV-14,Movie,96 min
Aruna & Her Palate,TV-14,Movie,106 min
Posesif,TV-MA,Movie,102 min
Verses of Love 2,TV-14,Movie,127 min
Love for Sale,TV-14,Movie,101 min
The 3rd Eye 2,TV-MA,Movie,117 min
Suzzanna: Buried Alive,TV-MA,Movie,126 min
Danur: I Can See Ghosts,TV-MA,Movie,75 min
Verses of Love,TV-PG,Movie,126 min
Habibie & Ainun,TV-14,Movie,125 min
Rudy Habibie,TV-14,Movie,143 min
Surga Yang Tak Dirindukan,TV-14,Movie,121 min
Surga Yang Tak Dirindukan 2,TV-14,Movie,119 min
The Doll,TV-MA,Movie,106 min
The Doll 2,TV-MA,Movie,117 min
Sabrina,TV-MA,Movie,114 min
Target,TV-14,Movie,91 min
May the Devil Take You,TV-MA,Movie,111 min
The Night Comes for Us,TV-MA,Movie,121 min
Kuntilanak,TV-14,Movie,106 min
The 3rd Eye,TV-MA,Movie,108 min
Beyond Skyline,R,Movie,107 min
Headshot,TV-MA,Movie,119 min
3 Heroines,TV-PG,Movie,124 min
5CM,TV-14,Movie,126 min
Arisan 2,TV-14,Movie,113 min
Because of Soccer,TV-14,Movie,75 min
Buffalo Boys,TV-MA,Movie,103 min
Cahaya Dari Timur Beta Maluku,TV-14,Movie,151 min
Chaotic Love Poems,TV-14,Movie,86 min
Emma' (Mother),TV-PG,Movie,74 min
Equals,PG-13,Movie,102 min
Filosofi Kopi The Movie,TV-PG,Movie,118 min
Galih dan Ratna,TV-PG,Movie,111 min
Garuda Di Dadaku,TV-PG,Movie,96 min
Garuda in My Heart 2,TV-PG,Movie,95 min
Gie,TV-14,Movie,141 min
Hati Perempuan,TV-14,TV Show,1 Season
Love You... Love You Not,TV-14,Movie,115 min
Merantau,R,Movie,112 min
Single,TV-PG,Movie,127 min
Soekarno,TV-MA,Movie,142 min
Surat Dari Praha,TV-14,Movie,98 min
The Dancer,TV-MA,Movie,105 min
The Dreamer,TV-PG,Movie,121 min
The Gathering,TV-14,Movie,124 min
The Jungle School,TV-PG,Movie,90 min
The Look of Silence,PG-13,Movie,103 min
The Rainbow Troops,TV-PG,Movie,119 min
The Sinking Of Van Der Wijck,TV-14,Movie,163 min
What's Up With Love?,R,Movie,110 min
Zak Storm,TV-Y7,TV Show,3 Seasons
