title,rating,type,duration
Hit & Run,TV-MA,TV Show,1 Season
The Operative,TV-MA,Movie,117 min
Shtisel,TV-14,TV Show,3 Seasons
Black Space,TV-MA,TV Show,1 Season
The Baker and the Beauty,TV-PG,TV Show,1 Season
Fauda,TV-MA,TV Show,3 Seasons
Jarhead: Law of Return,R,Movie,103 min
When Heroes Fly,TV-MA,TV Show,1 Season
Hashoter Hatov,TV-MA,TV Show,1 Season
The Kindergarten Teacher,R,Movie,97 min
The Angel,TV-MA,Movie,114 min
Mossad 101,TV-MA,TV Show,2 Seasons
Maktub,TV-MA,Movie,106 min
The Last Shaman,TV-14,Movie,83 min
Sand Storm,TV-PG,Movie,88 min
A Tale of Love and Darkness,PG-13,Movie,98 min
Bobbi Jene,TV-MA,Movie,99 min
Brave Miss World,TV-14,TV Show,1 Season
Forever Pure,TV-MA,Movie,87 min
Inside the Mossad,TV-14,TV Show,1 Season
Knock Knock,R,Movie,99 min
Mr. Gaga: A True Story of Love and Dance,TV-14,Movie,102 min
Numbered,TV-PG,Movie,55 min
Shadow of Truth,TV-MA,TV Show,1 Season
Suicide (Hitabdut),TV-MA,Movie,114 min
The Cakemaker,TV-14,Movie,109 min
The Congress,TV-MA,Movie,123 min
The Golem,TV-MA,Movie,95 min
The Look of Silence,PG-13,Movie,103 min
The Women's Balcony,TV-PG,Movie,100 min
