title,rating,type,duration
Cliffhanger,R,Movie,113 min
Cold Mountain,R,Movie,154 min
Once Upon a Time in America,R,Movie,229 min
Winx Club,TV-Y7,TV Show,2 Seasons
Beckett,TV-MA,Movie,110 min
44 Cats,TV-Y7,TV Show,3 Seasons
A Classic Horror Story,TV-MA,Movie,95 min
The Queen,PG-13,Movie,103 min
The Tourist,PG-13,Movie,103 min
Security,TV-MA,Movie,119 min
Summertime,TV-MA,TV Show,2 Seasons
Baggio: The Divine Ponytail,TV-MA,Movie,92 min
Zero,TV-MA,TV Show,1 Season
Fate: The Winx Saga,TV-MA,TV Show,1 Season
Caught by a Wave,TV-14,Movie,100 min
The Last Paradiso,TV-MA,Movie,107 min
SanPa: Sins of the Savior,TV-MA,TV Show,1 Season
Rose Island,TV-14,Movie,119 min
Angels & Demons,PG-13,Movie,139 min
Gormiti,TV-Y,TV Show,1 Season
The Beast,TV-MA,Movie,100 min
The Life Ahead,PG-13,Movie,95 min
Suburra: Blood on Rome,TV-MA,TV Show,3 Seasons
Out of Life,TV-MA,Movie,94 min
The Binding,TV-MA,Movie,93 min
Baby,TV-MA,TV Show,3 Seasons
The Match,TV-MA,Movie,97 min
The Players,TV-MA,Movie,89 min
#AnneFrank - Parallel Stories,TV-14,Movie,95 min
Under the Riccione Sun,TV-MA,Movie,102 min
Homemade,TV-MA,TV Show,1 Season
Curon,TV-MA,TV Show,1 Season
18 Presents,TV-MA,Movie,114 min
Medici: Masters of Florence,TV-MA,TV Show,3 Seasons
İstanbul Kırmızısı,TV-MA,Movie,110 min
Love Wedding Repeat,TV-MA,Movie,101 min
The Trial,TV-MA,TV Show,1 Season
Ultras,TV-MA,Movie,109 min
Luna Nera,TV-MA,TV Show,1 Season
Mia and Me,TV-Y7,TV Show,2 Seasons
The App,TV-MA,Movie,79 min
The Two Popes,PG-13,Movie,126 min
The Man Without Gravity,TV-MA,Movie,107 min
The Milk System,TV-14,Movie,91 min
Saverio Raimondo: Il Satiro Parlante,TV-MA,Movie,53 min
The Ruthless,TV-MA,Movie,111 min
Francesco De Carlo: Cose di Questo Mondo,TV-MA,Movie,61 min
Edoardo Ferrario: Temi Caldi,TV-MA,Movie,65 min
5 Star Christmas,TV-14,Movie,96 min
Happy as Lazzaro,PG-13,Movie,127 min
On My Skin,TV-MA,Movie,100 min
Food on the Go,TV-MA,Movie,66 min
Forgive Us Our Debts,TV-MA,Movie,105 min
Coffee for All,TV-PG,Movie,69 min
Franca: Chaos and Creation,TV-MA,Movie,79 min
The Last Shaman,TV-14,Movie,83 min
World of Winx,TV-Y7,TV Show,2 Seasons
Slam,TV-MA,Movie,99 min
Tini: The New Life of Violetta,G,Movie,99 min
Grillo vs Grillo,TV-MA,Movie,96 min
Welcome Mr. President,TV-MA,Movie,99 min
All Good Ones Get Away,TV-MA,Movie,83 min
Bat Pat,TV-Y,TV Show,1 Season
Brave Miss World,TV-14,TV Show,1 Season
Call Me Francis,TV-14,TV Show,1 Season
Compulsion,TV-MA,Movie,84 min
Doctor Zhivago,PG-13,Movie,200 min
Domino,R,Movie,89 min
Empire of Scents,TV-14,Movie,87 min
Euphoria,R,Movie,110 min
Everybody Knows,R,Movie,133 min
Fire at Sea,TV-14,Movie,114 min
Gangs of New York,R,Movie,167 min
Geronimo Stilton,TV-Y,TV Show,1 Season
Gomorrah,TV-MA,TV Show,2 Seasons
Gosford Park,R,Movie,137 min
Hostage to the Devil,TV-14,Movie,96 min
Huntik: Secrets and Seekers,TV-Y7,TV Show,2 Seasons
La Coppia dei Campioni,TV-MA,Movie,88 min
Leo the Lion,TV-Y7-FV,Movie,78 min
Maggie & Bianca: Fashion Friends,TV-Y7,TV Show,1 Season
My Honor Was Loyalty,,Movie,115 min
Naga The Eternal Yogi,TV-PG,Movie,73 min
Numero Zero. The Roots of Italian Rap,TV-MA,Movie,91 min
Once Upon a Time in the West,PG-13,Movie,166 min
Pope Francis: A Man of His Word,PG,Movie,96 min
Roberto Saviano: Writing Under Police Protection,TV-14,Movie,45 min
S Is for Stanley,TV-MA,Movie,82 min
Sacro GRA,TV-MA,Movie,91 min
Scandal in Sorrento,TV-PG,Movie,93 min
Shaka Zulu,TV-14,TV Show,1 Season
Sicilian Ghost Story,TV-MA,Movie,119 min
Stop at Nothing: The Lance Armstrong Story,NR,Movie,100 min
Suburra,NR,Movie,135 min
Terminator Salvation,PG-13,Movie,115 min
The Devil and Father Amorth,TV-PG,Movie,69 min
The Little Prince,PG,Movie,107 min
The Music of Silence,TV-PG,Movie,115 min
The Sign of Venus,TV-14,Movie,97 min
Tip the Mouse,TV-Y,TV Show,1 Season
