title,rating,type,duration
Safe House,R,Movie,115 min
InuYasha the Movie 2: The Castle Beyond the Looking Glass,TV-14,Movie,99 min
InuYasha the Movie 3: Swords of an Honorable Ruler,TV-14,Movie,99 min
InuYasha the Movie 4: Fire on the Mystic Island,TV-PG,Movie,88 min
InuYasha the Movie: Affections Touching Across Time,TV-PG,Movie,100 min
Naruto Shippuden the Movie: Blood Prison,TV-14,Movie,102 min
Naruto Shippûden the Movie: Bonds,TV-PG,Movie,93 min
Naruto Shippûden the Movie: The Will of Fire,TV-PG,Movie,96 min
Naruto Shippuden: The Movie,TV-PG,Movie,95 min
Naruto Shippuden: The Movie: The Lost Tower,TV-14,Movie,85 min
Naruto the Movie 2: Legend of the Stone of Gelel,TV-PG,Movie,97 min
Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,TV-PG,Movie,95 min
Naruto the Movie: Ninja Clash in the Land of Snow,TV-PG,Movie,83 min
Yowamushi Pedal,TV-14,TV Show,1 Season
Cliffhanger,R,Movie,113 min
Kuroko's Basketball,TV-MA,TV Show,3 Seasons
EDENS ZERO,TV-14,TV Show,1 Season
Rascal Does Not Dream of Bunny Girl Senpai,TV-14,TV Show,1 Season
Monster Hunter: Legends of the Guild,TV-PG,Movie,59 min
SHAMAN KING,TV-14,TV Show,1 Season
Hunter X Hunter (2011),TV-14,TV Show,6 Seasons
BEASTARS,TV-MA,TV Show,2 Seasons
RESIDENT EVIL: Infinite Darkness,TV-MA,TV Show,1 Season
Good Morning Call,TV-14,TV Show,2 Seasons
Midnight Diner: Tokyo Stories,TV-MA,TV Show,2 Seasons
Terrace House: Opening New Doors,TV-14,TV Show,6 Seasons
Memoirs of a Geisha,PG-13,Movie,145 min
The Seven Deadly Sins,TV-14,TV Show,5 Seasons
The Naked Director,TV-MA,TV Show,2 Seasons
REA(L)OVE,TV-MA,TV Show,1 Season
Creator's File: GOLD,TV-14,TV Show,1 Season
Attack on Titan,TV-MA,TV Show,1 Season
Ouran High School Host Club,TV-PG,TV Show,1 Season
JoJo's Bizarre Adventure,TV-MA,TV Show,3 Seasons
HOMUNCULUS,TV-MA,Movie,116 min
Durarara!!,TV-MA,TV Show,1 Season
GANTZ:O,TV-MA,Movie,96 min
High-Rise Invasion,TV-MA,TV Show,1 Season
Ride or Die,TV-MA,Movie,143 min
Sonic X,TV-Y7,TV Show,2 Seasons
My Love: Six Stories of True Love,TV-PG,TV Show,1 Season
The Way of the Househusband,TV-MA,TV Show,1 Season
Kingsglaive: Final Fantasy XV,PG-13,Movie,116 min
Seven Souls in the Skull Castle: Season Flower,TV-14,Movie,181 min
Starship Troopers: Traitor of Mars,R,Movie,88 min
Yu-Gi-Oh!,TV-Y7,TV Show,1 Season
Pui Pui Molcar,TV-Y7,TV Show,1 Season
Any Crybabies Around?,TV-MA,Movie,108 min
Mighty Morphin Power Rangers,TV-Y7,TV Show,4 Seasons
B: The Beginning,TV-MA,TV Show,2 Seasons
TIGER & BUNNY,TV-14,TV Show,1 Season
"Blue, Painful, Fragile",TV-14,Movie,119 min
Demon Slayer: Kimetsu no Yaiba,TV-14,TV Show,1 Season
Shaun the Sheep,TV-Y,TV Show,2 Seasons
Marvel Anime: Wolverine,TV-14,TV Show,1 Season
Marvel Anime: X-Men,TV-14,TV Show,1 Season
Alice in Borderland,TV-MA,TV Show,1 Season
Great Pretender,TV-MA,TV Show,2 Seasons
Ainu Mosir,TV-PG,Movie,84 min
Beyblade Burst Rise,TV-Y,TV Show,1 Season
Bakugan: Battle Planet,TV-PG,TV Show,1 Season
MOTHER,TV-14,Movie,127 min
Food Wars!: Shokugeki no Soma,TV-MA,TV Show,2 Seasons
Sword Art Online,TV-MA,TV Show,3 Seasons
Black Butler,TV-MA,TV Show,3 Seasons
DTC Yukemuri Junjo Hen From High & Low,TV-PG,Movie,102 min
High & Low The Movie,TV-MA,Movie,129 min
High & Low The Movie 2 / End of Sky,TV-MA,Movie,124 min
High & Low The Movie 3 / Final Mission,TV-MA,Movie,118 min
High & Low The Red Rain,TV-MA,Movie,111 min
Road To High & Low,TV-MA,Movie,94 min
Blue Exorcist,TV-MA,TV Show,2 Seasons
Children of the Sea,TV-PG,Movie,112 min
Erased,TV-14,TV Show,1 Season
Fate/Grand Order -First Order-,TV-14,Movie,72 min
The Promised Neverland,TV-14,TV Show,1 Season
Aggretsuko,TV-14,TV Show,3 Seasons
Zoids Wild,TV-Y7,TV Show,1 Season
Terrace House: Tokyo 2019-2020,TV-MA,TV Show,2 Seasons
Nagi-Asu: A Lull in the Sea,TV-14,TV Show,1 Season
Toradora!,TV-14,TV Show,1 Season
Romance Doll,TV-MA,Movie,124 min
Japan Sinks: 2020,TV-MA,TV Show,1 Season
JU-ON: Origins,TV-MA,TV Show,1 Season
BNA,TV-14,TV Show,1 Season
A Whisker Away,TV-PG,Movie,104 min
Okko's Inn,PG,Movie,96 min
ONE PIECE,TV-14,TV Show,4 Seasons
BAKI,TV-MA,TV Show,3 Seasons
Cardcaptor Sakura,TV-Y7,TV Show,2 Seasons
Megalobox,TV-MA,TV Show,1 Season
Midnight Diner,TV-MA,TV Show,3 Seasons
Mirai,PG,Movie,98 min
Dorohedoro,TV-MA,TV Show,1 Season
Modest Heroes: Ponoc Short Films Theatre,PG,Movie,54 min
Parasyte: The Maxim,TV-MA,TV Show,1 Season
Arctic Dogs,PG,Movie,93 min
Monthly Girls' Nozaki Kun,TV-PG,TV Show,1 Season
DRIFTING DRAGONS,TV-14,TV Show,1 Season
The Forest of Love: Deep Cut,TV-MA,TV Show,1 Season
No Direction Home: Bob Dylan,TV-MA,Movie,208 min
Ghost in the Shell: SAC_2045,TV-14,TV Show,1 Season
Bleach,TV-14,TV Show,5 Seasons
"Hail, Caesar!",PG-13,Movie,106 min
Hi Score Girl,TV-14,TV Show,2 Seasons
Sol Levante,TV-14,Movie,5 min
Violet Evergarden: Eternity and the Auto Memory Doll,TV-PG,Movie,91 min
Saint Seiya,TV-14,TV Show,6 Seasons
Dino Girl Gauko,TV-Y7,TV Show,2 Seasons
Altered Carbon: Resleeved,TV-MA,Movie,75 min
Lu Over the Wall,PG,Movie,113 min
Akame ga Kill!,TV-14,TV Show,1 Season
Followers,TV-MA,TV Show,1 Season
Pokémon: Mewtwo Strikes Back - Evolution,TV-Y7,Movie,98 min
Dragon Quest Your Story,TV-PG,Movie,103 min
Cagaster of an Insect Cage,TV-MA,TV Show,1 Season
Is It Wrong to Try to Pick Up Girls in a Dungeon?,TV-MA,TV Show,1 Season
Miraculous: Tales of Ladybug & Cat Noir,TV-Y7,TV Show,5 Seasons
No Game No Life,TV-MA,TV Show,1 Season
Pop Team Epic,TV-14,TV Show,1 Season
37 Seconds,TV-MA,Movie,116 min
Ainori Love Wagon: African Journey,TV-14,TV Show,1 Season
​SAINT SEIYA: Knights of the Zodiac,TV-14,TV Show,2 Seasons
The Bling Ring,R,Movie,91 min
Hop,PG,Movie,95 min
NiNoKuni,TV-14,Movie,107 min
Soul Eater,TV-14,TV Show,1 Season
Cells at Work!,TV-PG,TV Show,1 Season
Pokémon the Movie: Power of Us,TV-Y7,Movie,98 min
