title,rating,type,duration
The Piano,R,Movie,121 min
Cousins,TV-MA,Movie,99 min
The New Legends of Monkey,TV-PG,TV Show,2 Seasons
Underworld: Rise of the Lycans,R,Movie,92 min
What Dreams May Come,PG-13,Movie,114 min
The Lovely Bones,PG-13,Movie,136 min
Hunt for the Wilderpeople,PG-13,Movie,101 min
Cleverman,TV-MA,TV Show,1 Season
Born Racer,R,Movie,89 min
The Stolen,TV-14,Movie,98 min
The Casketeers,TV-14,TV Show,2 Seasons
Merata: How Mum Decolonised the Screen,TV-14,Movie,88 min
The Breaker Upperers,TV-MA,Movie,82 min
Dark Tourist,TV-MA,TV Show,1 Season
The Shannara Chronicles,TV-MA,TV Show,2 Seasons
Belief: The Possession of Janet Moses,TV-MA,Movie,90 min
Bombshell,TV-MA,Movie,86 min
6 Days,R,Movie,94 min
Barbecue,TV-MA,Movie,101 min
Capital in the Twenty-First Century,TV-14,Movie,103 min
District 9,R,Movie,112 min
Power Rangers Ninja Storm,TV-Y7,TV Show,1 Season
Power Rangers Operation Overdrive,TV-Y7,TV Show,1 Season
Power Rangers S.P.D.,TV-Y7,TV Show,1 Season
Slow West,R,Movie,84 min
Stop at Nothing: The Lance Armstrong Story,NR,Movie,100 min
The Adventures of Tintin,PG,Movie,107 min
The Free Man,TV-PG,Movie,84 min
The Lord of the Rings: The Return of the King,PG-13,Movie,201 min
The Lord of the Rings: The Two Towers,PG-13,Movie,179 min
The Monster of Mangatiti,TV-MA,Movie,70 min
The Rehearsal,TV-MA,Movie,102 min
The Water Horse: Legend of the Deep,PG,Movie,112 min
