title,rating,type,duration
Castle and Castle,TV-MA,TV Show,2 Seasons
King of Boys,TV-MA,Movie,182 min
Omo Ghetto: the Saga,TV-MA,Movie,147 min
King of Boys: The Return of the King,TV-MA,TV Show,1 Season
Brother Jekwu,TV-14,Movie,101 min
Quam's Money,TV-MA,Movie,115 min
'76,TV-PG,Movie,118 min
Ije: The Journey,TV-MA,Movie,106 min
Flower Girl,TV-PG,Movie,94 min
Sanitation Day,TV-14,Movie,105 min
Tango With Me,TV-14,Movie,104 min
RattleSnake - The Ahanna Story,TV-MA,Movie,136 min
Voiceless,TV-MA,Movie,112 min
Osuofia in London,TV-MA,Movie,84 min
Kambili: The Whole 30 Yards,TV-14,Movie,119 min
Confusion Na Wa,TV-MA,Movie,106 min
Small Chops,TV-MA,Movie,98 min
Gold Statue,TV-14,Movie,145 min
This Lady Called Life,TV-14,Movie,120 min
Oloibiri,TV-14,Movie,86 min
Ojukokoro: Greed,TV-MA,Movie,108 min
God Calling,TV-MA,Movie,120 min
Marked,TV-PG,Movie,21 min
Who's the Boss,TV-MA,Movie,106 min
Catch.er,TV-14,Movie,80 min
Fate of Alakada,TV-14,Movie,113 min
Namaste Wahala,TV-14,Movie,107 min
Black Rose,TV-14,Movie,121 min
Before 30,TV-MA,TV Show,1 Season
Citation,TV-MA,Movie,151 min
In Line,TV-14,Movie,114 min
Òlòtūré,TV-MA,Movie,107 min
Lara and the Beat,TV-MA,Movie,140 min
The Lost Okoroshi,TV-MA,Movie,94 min
Ojos in d' House,TV-G,TV Show,1 Season
Meet the In-Laws,TV-PG,Movie,75 min
Nigerian Prince,TV-MA,Movie,104 min
The Governor,TV-14,TV Show,1 Season
It's Her Day,TV-MA,Movie,112 min
Nimbe,TV-MA,Movie,115 min
The Millions,TV-MA,Movie,95 min
Cold Feet,TV-14,Movie,98 min
Sylvia,TV-14,Movie,104 min
The Mirror Boy,TV-14,Movie,86 min
Skin,TV-MA,Movie,76 min
Kasanova,TV-14,Movie,117 min
The Royal Hibiscus Hotel,TV-PG,Movie,90 min
Elevator Baby,TV-MA,Movie,84 min
Last Flight to Abuja,TV-14,Movie,76 min
4th Republic,TV-MA,Movie,120 min
Merry Men 2: Another Mission,TV-MA,Movie,115 min
Living in Bondage: Breaking Free,TV-MA,Movie,149 min
Anchor Baby,TV-MA,Movie,97 min
Light in the Dark,TV-14,Movie,105 min
The Delivery Boy,TV-14,Movie,67 min
Love Is War,TV-14,Movie,111 min
The Set Up,TV-MA,Movie,105 min
New Money,TV-14,Movie,107 min
Moms at War,TV-14,Movie,92 min
93 Days,TV-PG,Movie,121 min
Couple of Days,TV-14,Movie,103 min
Gbomo Gbomo Express,TV-MA,Movie,97 min
Taxi Driver,TV-MA,Movie,94 min
The Arbitration,TV-MA,Movie,101 min
When Love Happens,TV-14,Movie,109 min
On the Real,TV-MA,TV Show,1 Season
The Ghost and the Tout,TV-14,Movie,100 min
Fifty: The Series,TV-14,TV Show,2 Seasons
Hakkunde,TV-14,Movie,93 min
Sons of the Caliphate,TV-14,TV Show,2 Seasons
Lost in London,TV-PG,Movie,86 min
Being Mrs Elliot,TV-14,Movie,113 min
Iyore,TV-PG,Movie,141 min
"Crazy, Lovely, Cool",TV-MA,TV Show,1 Season
Isoken,TV-14,Movie,98 min
A Trip to Jamaica,TV-MA,Movie,99 min
Okafor's Law,TV-14,Movie,110 min
Banana Island Ghost,TV-14,Movie,108 min
Slow Country,TV-MA,Movie,115 min
Wives on Strike,TV-14,Movie,92 min
Wives on Strike: The Revolution,TV-PG,Movie,93 min
Crazy people,TV-MA,Movie,107 min
Payday,TV-MA,Movie,110 min
The Accidental Spy,TV-MA,Movie,104 min
The Island,TV-14,Movie,93 min
10 Days in Sun City,TV-14,Movie,87 min
Tatu,TV-MA,Movie,101 min
Up North,TV-14,Movie,99 min
The Bling Lagosians,TV-14,Movie,99 min
Lionheart,TV-PG,Movie,95 min
The Wedding Party,TV-14,Movie,101 min
Oct-01,TV-14,Movie,149 min
Chief Daddy,TV-MA,Movie,98 min
Fifty,NR,Movie,101 min
Green White Green (And All the Beautiful Colours in My Mosaic of Madness),TV-MA,Movie,102 min
Merry Men: The Real Yoruba Demons,TV-MA,Movie,106 min
Mokalik (Mechanic),TV-14,Movie,100 min
Phone Swap,TV-14,Movie,112 min
Road to Yesterday,TV-14,Movie,96 min
The Bridge,TV-14,Movie,119 min
The CEO,TV-14,Movie,109 min
The Figurine (Araromire),TV-14,Movie,121 min
The Wedding Party 2: Destination Dubai,TV-14,Movie,98 min
