title,rating,type,duration
Sitara: Let Girls Dream,TV-PG,Movie,16 min
Saawan,TV-14,Movie,128 min
Pinky Memsaab,TV-MA,Movie,124 min
Virsa,TV-14,Movie,127 min
"Abdullah, The Final Witness",TV-14,Movie,88 min
Pari,TV-14,Movie,116 min
Teefa in Trouble,TV-14,Movie,155 min
Zindagi Kitni Haseen Hay,TV-14,Movie,126 min
7 Din Mohabbat In,TV-PG,Movie,137 min
Balu Mahi,TV-MA,Movie,149 min
Cake,TV-MA,Movie,125 min
Chalay Thay Saath,TV-14,Movie,118 min
Chupan Chupai,TV-14,Movie,118 min
Dukhtar,TV-14,Movie,93 min
Ho Mann Jahaan,TV-PG,Movie,170 min
Humsafar,TV-PG,TV Show,1 Season
Janaan,TV-14,Movie,132 min
Khaani,TV-14,TV Show,1 Season
Moor,TV-14,Movie,135 min
Rangreza,TV-14,Movie,126 min
Sadqay Tumhare,TV-PG,TV Show,1 Season
Waar,TV-MA,Movie,130 min
Wrong No.,TV-14,Movie,133 min
Zindagi Gulzar Hai,TV-PG,TV Show,1 Season
