title,rating,type,duration
Bartkowiak,TV-MA,Movie,92 min
The Mire,TV-MA,TV Show,2 Seasons
Sexify,TV-MA,TV Show,1 Season
The Pianist,R,Movie,149 min
Squared Love,TV-14,Movie,102 min
All My Friends Are Dead,TV-MA,Movie,97 min
Fierce,TV-MA,Movie,118 min
Nobody Sleeps in the Woods Tonight,TV-MA,Movie,103 min
Signs,TV-MA,TV Show,2 Seasons
The Hater,TV-MA,Movie,136 min
The Woods,TV-MA,TV Show,1 Season
365 Days,TV-MA,Movie,114 min
The Plagues of Breslau,TV-MA,Movie,94 min
Fanatyk,TV-MA,Movie,33 min
The Coldest Game,TV-MA,Movie,103 min
Women of Mafia 2,TV-MA,Movie,132 min
The Witcher,TV-MA,TV Show,1 Season
Ultraviolet,TV-MA,TV Show,2 Seasons
The Crime,TV-MA,TV Show,2 Seasons
Struggle: The Life and Lost Art of Szukalski,TV-MA,Movie,105 min
1983,TV-MA,TV Show,1 Season
Dovlatov,PG-13,Movie,126 min
Forgive Us Our Debts,TV-MA,Movie,105 min
A Sort of Family,TV-14,Movie,96 min
The Art of Loving,TV-MA,Movie,115 min
Clair Obscur,TV-MA,Movie,102 min
300 Miles to Heaven,TV-14,Movie,93 min
Dark Crimes,R,Movie,93 min
"Escape from the ""Liberty"" Cinema",TV-MA,Movie,88 min
Jealousy and medicine,TV-MA,Movie,97 min
Medium,TV-MA,Movie,90 min
Mission of Honor,TV-MA,Movie,107 min
Porto,TV-MA,Movie,77 min
The Congress,TV-MA,Movie,123 min
The Cruise,TV-PG,Movie,66 min
The lynx,TV-14,Movie,82 min
The spiral,TV-MA,Movie,84 min
Wartime Portraits,TV-MA,TV Show,1 Season
Weather forecast,TV-MA,Movie,91 min
Westerplatte Resists,TV-MA,Movie,93 min
