title,rating,type,duration
Blood & Water,TV-MA,TV Show,2 Seasons
Safe House,R,Movie,115 min
Chappie,R,Movie,121 min
Slay,TV-MA,Movie,86 min
Trippin' with the Kandasamys,TV-14,Movie,94 min
I Am All Girls,TV-MA,Movie,107 min
Table Manners,TV-MA,Movie,104 min
Mandela: Long Walk to Freedom,PG-13,Movie,141 min
Loyiso Gola: Unlearning,TV-MA,Movie,60 min
Diamond City,TV-MA,TV Show,1 Season
How To Ruin Christmas,TV-MA,TV Show,1 Season
Kings of Jo'Burg,TV-MA,TV Show,1 Season
Cold Harbour,TV-MA,Movie,73 min
Amandla! A Revolution in Four Part Harmony,PG-13,Movie,103 min
My Octopus Teacher,TV-G,Movie,86 min
Kandasamys: The Wedding,TV-14,Movie,93 min
Santana,TV-MA,Movie,107 min
Seriously Single,TV-MA,Movie,108 min
The Letter Reader,TV-PG,Movie,30 min
Hole in the Wall,TV-MA,Movie,104 min
Material,TV-14,Movie,94 min
Tjovitjo,TV-MA,TV Show,2 Seasons
Baby Mamas,TV-14,Movie,98 min
All About Love,TV-MA,Movie,79 min
Uncovered,TV-MA,Movie,98 min
"Pop, Lock 'n Roll",TV-14,Movie,88 min
Queen Sono,TV-MA,TV Show,1 Season
Pretville,TV-PG,Movie,95 min
Liefling,TV-PG,Movie,118 min
French Toast,TV-PG,Movie,86 min
Love Jacked,PG-13,Movie,94 min
Die Ontwaking,TV-MA,Movie,90 min
Blitz Patrollie,TV-MA,Movie,102 min
Agent,TV-MA,TV Show,1 Season
My Wife and I,TV-MA,Movie,100 min
Kalushi: The Story of Solomon Mahlangu,TV-MA,Movie,107 min
10 Days in Sun City,TV-14,Movie,87 min
Vaya,TV-MA,Movie,106 min
Catching Feelings,TV-MA,Movie,117 min
Troy,TV-MA,TV Show,1 Season
The Indian Detective,TV-14,TV Show,1 Season
Shepherds and Butchers,R,Movie,106 min
The Siege of Jadotville,TV-MA,Movie,108 min
"10,000 B.C.",PG-13,Movie,109 min
24 Hours to Live,R,Movie,93 min
A Family Affair,TV-PG,Movie,111 min
Barbecue,TV-MA,Movie,101 min
Brave Miss World,TV-14,TV Show,1 Season
Detour,R,Movie,97 min
District 9,R,Movie,112 min
Hope: One in a Billion,TV-14,Movie,81 min
Inxeba,TV-MA,Movie,88 min
Remember,R,Movie,95 min
Samson,PG-13,Movie,109 min
Shaka Zulu,TV-14,TV Show,1 Season
The Magic Pill,TV-PG,Movie,90 min
The Pirates of Somalia,R,Movie,118 min
The Salvation,R,Movie,92 min
Tremors 5:  Bloodline,PG-13,Movie,99 min
Tremors 6: A Cold Day in Hell,PG-13,Movie,98 min
Trophy,TV-MA,Movie,110 min
Winnie,TV-14,Movie,85 min
