title,rating,type,duration
Young Royals,TV-MA,TV Show,1 Season
Dancing Queens,TV-MA,Movie,111 min
Red Dot,TV-MA,Movie,86 min
Love & Anarchy,TV-MA,TV Show,1 Season
Zozo,TV-MA,Movie,99 min
David Batra: Elefanten i rummet,TV-MA,Movie,77 min
Caliphate,TV-MA,TV Show,1 Season
Occupied,TV-MA,TV Show,3 Seasons
Olmo & the Seagull,TV-MA,Movie,82 min
Bonus Family,TV-MA,TV Show,3 Seasons
Life Overtakes Me,TV-PG,Movie,40 min
Last Breath,TV-MA,Movie,86 min
Quicksand,TV-MA,TV Show,1 Season
And Breathe Normally,TV-14,Movie,102 min
Battle,TV-MA,Movie,98 min
Minecraft: Story Mode,TV-PG,TV Show,1 Season
Fallet,TV-MA,TV Show,1 Season
Jag älskar dig: En skilsmässokomedi,TV-MA,Movie,91 min
Borderliner,TV-MA,TV Show,1 Season
I Called Him Morgan,TV-14,Movie,91 min
The 101-Year-Old Man Who Skipped Out on the Bill and Disappeared,TV-MA,Movie,108 min
Alive and Kicking,TV-14,Movie,89 min
Avicii: True Stories,TV-MA,Movie,97 min
Barbecue,TV-MA,Movie,101 min
Bobbi Jene,TV-MA,Movie,99 min
Chappaquiddick,PG-13,Movie,106 min
Devil's Bride,TV-MA,Movie,108 min
Gentlemen and Gangsters,TV-MA,TV Show,1 Season
Good People,R,Movie,90 min
Kon-Tiki,PG-13,Movie,96 min
Kraftidioten,TV-MA,Movie,117 min
Memory Games,TV-14,Movie,86 min
Mr. Gaga: A True Story of Love and Dance,TV-14,Movie,102 min
Nymphomaniac: Volume II,TV-MA,Movie,124 min
Only God Forgives,R,Movie,90 min
Searching for Sugar Man,PG-13,Movie,86 min
Summer of '92,TV-MA,Movie,94 min
Swiss Army Man,R,Movie,97 min
The Girl with the Dragon Tattoo,R,Movie,158 min
The Most Beautiful Hands of Delhi,TV-MA,TV Show,1 Season
The Salvation,R,Movie,92 min
Viceroy's House,NR,Movie,106 min
