title,rating,type,duration
The Railway Man,R,Movie,108 min
American Ultra,R,Movie,96 min
At Eternity's Gate,PG-13,Movie,111 min
Heritages,TV-14,Movie,96 min
I Am Not Your Negro,PG-13,Movie,94 min
Aurora,TV-MA,Movie,186 min
The Awakening of Motti Wolkenbruch,TV-MA,Movie,94 min
Happy as Lazzaro,PG-13,Movie,127 min
Forgive Us Our Debts,TV-MA,Movie,105 min
The Next Skin,TV-MA,Movie,104 min
Clouds of Sils Maria,R,Movie,124 min
My Life as a Zucchini,PG-13,Movie,68 min
Océans,G,Movie,84 min
Pope Francis: A Man of His Word,PG,Movie,96 min
Prague,TV-MA,Movie,106 min
Sicilian Ghost Story,TV-MA,Movie,119 min
Singularity,PG-13,Movie,92 min
Station Horizon,TV-MA,TV Show,1 Season
Under The Skin,R,Movie,108 min
