title,rating,type,duration
Resurrection: Ertugrul,TV-14,TV Show,5 Seasons
The Gift,TV-MA,TV Show,3 Seasons
Have You Ever Seen Fireflies? - Theatre Play,TV-MA,Movie,118 min
Fatma,TV-MA,TV Show,1 Season
Among Family,TV-14,Movie,127 min
Dedemin Fisi,TV-14,Movie,101 min
Deliha,TV-MA,Movie,102 min
Düğün Dernek,TV-MA,Movie,102 min
Dügün Dernek 2: Sünnet,TV-MA,Movie,107 min
G.O.R.A,TV-MA,Movie,123 min
Hayat Öpücügü,TV-14,Movie,98 min
Kara Bela,TV-MA,Movie,101 min
Kocan Kadar Konus,TV-MA,Movie,104 min
Kocan Kadar Konus 2: Dirilis,TV-14,Movie,104 min
My Travel Buddy,TV-MA,Movie,111 min
Niyazi Gül Dörtnala,TV-MA,Movie,102 min
Vizontele,TV-MA,Movie,106 min
Keeping the Bees,TV-14,Movie,93 min
Çarsi Pazar,TV-MA,Movie,97 min
Mucize,TV-14,Movie,136 min
Paper Lives,TV-MA,Movie,97 min
Romantik Komedi,TV-MA,Movie,110 min
Romantik Komedi 2: Bekarlığa Veda,TV-MA,Movie,105 min
You're Everything To Me,TV-PG,Movie,107 min
50M2,TV-MA,TV Show,1 Season
Stuck Apart,TV-MA,Movie,97 min
Leyla Everlasting,TV-MA,Movie,113 min
Ethos,TV-MA,TV Show,1 Season
My Step Dad: The Hippie,TV-MA,Movie,100 min
Good Game: The Beginning,TV-14,Movie,115 min
A Chaster Marriage,TV-14,Movie,94 min
Turkish Dance School,TV-MA,Movie,107 min
Night of Knots,TV-MA,Movie,93 min
Toll Booth,TV-MA,Movie,98 min
The Ottoman Lieutenant,R,Movie,111 min
The Protector,TV-MA,TV Show,4 Seasons
Ali Baba ve 7 Cüceler,TV-MA,Movie,115 min
Pek Yakında,TV-MA,Movie,134 min
One-Way to Tomorrow,TV-MA,Movie,90 min
Hot Sweet Sour,TV-14,Movie,102 min
Overnight Republic,TV-MA,Movie,105 min
Ekşi Elmalar,TV-PG,Movie,109 min
Beynelmilel,TV-MA,Movie,102 min
Bir Baba Hindu,TV-MA,Movie,107 min
Cinar Agaci,TV-14,Movie,115 min
Görümce,TV-MA,Movie,104 min
İstanbul Kırmızısı,TV-MA,Movie,110 min
Küçük Esnaf,TV-MA,Movie,100 min
Neseli Hayat,TV-14,Movie,108 min
Organize Isler,TV-14,Movie,104 min
Love 101,TV-MA,TV Show,1 Season
Babamın Ceketi,TV-MA,Movie,101 min
Stunt School,TV-G,Movie,95 min
Miracle in Cell No. 7,TV-14,Movie,132 min
The Yard,TV-MA,TV Show,2 Seasons
Consequences,TV-MA,Movie,106 min
"Love, Surreal and Odd",TV-14,Movie,95 min
Black Money Love,TV-MA,TV Show,1 Season
Bygones Be Bygones,TV-MA,Movie,104 min
Brother in Love,TV-MA,Movie,110 min
Kids on the Block,TV-PG,Movie,102 min
Deliha 2,TV-PG,Movie,102 min
Travel Mates 2,TV-MA,Movie,111 min
Locked on You,TV-14,Movie,105 min
Kill Me If You Dare,TV-14,Movie,100 min
Game Over (Tamil Version),TV-MA,Movie,98 min
Money Trap,TV-MA,Movie,122 min
Dabbe 5: Zehr-i Cin,TV-MA,Movie,133 min
Dabbe: The Possession,TV-MA,Movie,135 min
Immortals,TV-MA,TV Show,1 Season
Innocent,TV-MA,TV Show,1 Season
Wolf,TV-MA,TV Show,1 Season
Clair Obscur,TV-MA,Movie,102 min
20 Minutes,TV-MA,TV Show,1 Season
46,TV-MA,TV Show,1 Season
Intersection,TV-MA,TV Show,3 Seasons
Burned Cocoon,TV-MA,TV Show,1 Season
The Butterfly's Dream,TV-PG,Movie,118 min
Love Me As I Am,TV-PG,TV Show,3 Seasons
Çok Filim Hareketler Bunlar,TV-MA,Movie,99 min
Şubat,TV-MA,TV Show,1 Season
Aşk Tesadüfleri Sever,TV-MA,Movie,122 min
Act of Vengeance,NR,Movie,112 min
Babam ve Oğlum,TV-14,Movie,112 min
Bana Masal Anlatma,TV-14,Movie,103 min
Behzat Ç.,TV-MA,TV Show,1 Season
Berlin Kaplani,TV-14,Movie,99 min
Black Heart,TV-14,TV Show,1 Season
Consequences ,TV-MA,Movie,106 min
Dabbe 6: The Return,TV-MA,Movie,153 min
Eyyvah Eyyvah,TV-MA,Movie,99 min
Eyyvah Eyyvah 2,TV-PG,Movie,106 min
Eyyvah Eyyvah 3,TV-PG,Movie,103 min
Ezel,TV-14,TV Show,1 Season
Filinta,TV-14,TV Show,2 Seasons
Gonul,TV-14,TV Show,1 Season
Hükümet Kadin,TV-MA,Movie,100 min
Hükümet Kadin 2,TV-14,Movie,101 min
Hadi İnşallah,TV-14,Movie,95 min
Hokkabaz,TV-MA,Movie,118 min
Incir Receli 2,TV-14,Movie,103 min
Kaçak,TV-14,TV Show,1 Season
Kurt Seyit & Sura,TV-14,TV Show,1 Season
Kurtulus Son Durak,TV-MA,Movie,100 min
Leyla and Mecnun,TV-MA,TV Show,3 Seasons
Mahmut & Meryem,TV-14,TV Show,1 Season
Patron Mutlu Son Istiyor,TV-MA,Movie,105 min
Sadece Sen,TV-MA,Movie,105 min
Sen Kimsin?,TV-14,Movie,102 min
Vizontele Tuuba,NR,Movie,106 min
What Happens to My Family,TV-14,TV Show,1 Season
Winter Sun,TV-MA,TV Show,1 Season
Yunus Emre,TV-PG,TV Show,2 Seasons
