title,rating,type,duration
Blind Intersections,TV-MA,Movie,91 min
Until Midnight,TV-14,Movie,77 min
Myriam Fares: The Journey,TV-14,Movie,72 min
The Platform,TV-14,TV Show,3 Seasons
Heritages,TV-14,Movie,96 min
Taxi Ballad,TV-MA,Movie,81 min
From A to B,TV-MA,Movie,104 min
What's Up?,TV-PG,Movie,95 min
Kalek Shanab,TV-PG,Movie,80 min
The Stolen,TV-14,Movie,98 min
Freej Al Taibeen,TV-PG,Movie,99 min
Grandmother's Farm,TV-14,Movie,71 min
Grandmother's Farm Part 2,TV-14,Movie,80 min
Wadjda,PG,Movie,93 min
Fan of Amoory,TV-G,Movie,109 min
Ali & Alia,TV-14,Movie,106 min
Aerials,TV-14,Movie,90 min
Uncle Naji in UAE,TV-14,Movie,95 min
Pinky Memsaab,TV-MA,Movie,124 min
Bombairiya,TV-MA,Movie,108 min
Hajwala 2: Mysterious Mission,TV-14,Movie,116 min
Benji,TV-PG,Movie,87 min
Rip Tide,TV-PG,Movie,87 min
The Worthy,TV-MA,Movie,99 min
Hajwala: The Missing Engine,TV-PG,Movie,97 min
A Most Violent Year,R,Movie,125 min
Backtrack,R,Movie,90 min
Fittest in Dubai,TV-14,Movie,60 min
Follow Me,TV-MA,Movie,86 min
He Named Me Malala,PG-13,Movie,89 min
Océans,G,Movie,84 min
OtherLife,TV-MA,Movie,96 min
Shorts,PG,Movie,89 min
The Hundred-Foot Journey,PG,Movie,123 min
The Time Machine,PG-13,Movie,96 min
Why Knot,TV-MA,Movie,84 min
Zinzana,TV-MA,Movie,96 min
