title,rating,type,duration
Dick Johnson Is Dead,PG-13,Movie,90 min
Sankofa,TV-MA,Movie,125 min
The Starling,PG-13,Movie,104 min
Dear White People,TV-MA,TV Show,4 Seasons
Grown Ups,PG-13,Movie,103 min
Dark Skies,PG-13,Movie,97 min
Paranoia,PG-13,Movie,106 min
Birth of the Dragon,PG-13,Movie,96 min
He-Man and the Masters of the Universe,TV-Y7,TV Show,1 Season
Jaws,PG,Movie,124 min
Jaws 2,PG,Movie,116 min
Jaws 3,PG,Movie,98 min
Jaws: The Revenge,PG-13,Movie,91 min
Safe House,R,Movie,115 min
Training Day,R,Movie,122 min
Nailed It,TV-PG,TV Show,6 Seasons
Saved by the Bell,TV-PG,TV Show,9 Seasons
Kate,R,Movie,106 min
Lucifer,TV-14,TV Show,6 Seasons
Paradise Hills,TV-MA,Movie,95 min
Show Dogs,PG,Movie,90 min
The Circle,TV-MA,TV Show,3 Seasons
If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,TV-MA,Movie,97 min
Kid Cosmic,TV-Y7,TV Show,2 Seasons
On the Verge,TV-MA,TV Show,1 Season
Untold: Breaking Point,TV-MA,Movie,80 min
Bunk'd,TV-G,TV Show,5 Seasons
A Champion Heart,G,Movie,90 min
Sharkdog,TV-Y,TV Show,1 Season
Final Account,PG-13,Movie,94 min
In the Cut,R,Movie,118 min
Q-Force,TV-MA,TV Show,1 Season
A Cinderella Story,PG,Movie,95 min
An Unfinished Life,PG-13,Movie,108 min
Blade Runner: The Final Cut,R,Movie,117 min
Chappie,R,Movie,121 min
Clear and Present Danger,PG-13,Movie,142 min
Cliffhanger,R,Movie,113 min
Cold Mountain,R,Movie,154 min
Crocodile Dundee in Los Angeles,PG,Movie,95 min
Dear John,PG-13,Movie,108 min
Do the Right Thing,R,Movie,120 min
Extraction,R,Movie,82 min
Freedom Writers,PG-13,Movie,124 min
Green Lantern,PG-13,Movie,114 min
House Party,R,Movie,104 min
House Party 2,R,Movie,94 min
House Party 3,R,Movie,94 min
I Got the Hook Up,R,Movie,93 min
In Too Deep,R,Movie,97 min
Janoskians: Untold and Untrue,TV-MA,Movie,88 min
Labyrinth,PG,Movie,101 min
Letters to Juliet,PG,Movie,105 min
Love Don't Cost a Thing,PG-13,Movie,101 min
Major Dad,TV-PG,TV Show,4 Seasons
Mars Attacks!,PG-13,Movie,106 min
Marshall,PG-13,Movie,118 min
My Boss's Daughter,R,Movie,86 min
Mystery Men,PG-13,Movie,121 min
Once Upon a Time in America,R,Movie,229 min
Open Season 2,PG,Movie,76 min
Osmosis Jones,PG,Movie,95 min
Poseidon,PG-13,Movie,98 min
Rhyme & Reason,R,Movie,89 min
Same Kind of Different as Me,PG-13,Movie,120 min
School of Rock,PG-13,Movie,110 min
Snervous Tyler Oakley,PG-13,Movie,83 min
Tears of the Sun,R,Movie,121 min
The Blue Lagoon,R,Movie,105 min
The Golden Child,PG-13,Movie,94 min
The Guns of Navarone,TV-14,Movie,156 min
The Interview,R,Movie,112 min
The Nutty Professor,PG-13,Movie,95 min
Welcome Home Roscoe Jenkins,PG-13,Movie,114 min
In the Line of Fire,R,Movie,129 min
Sparking Joy,TV-PG,TV Show,1 Season
Wind River,R,Movie,107 min
Family Reunion,TV-PG,TV Show,4 Seasons
Really Love,TV-MA,Movie,95 min
The November Man,R,Movie,108 min
The Old Ways,TV-MA,Movie,90 min
The Water Man,PG,Movie,92 min
Wheel of Fortune,TV-G,TV Show,3 Seasons
Manifest,TV-14,TV Show,3 Seasons
Sweet Girl,R,Movie,110 min
Like Crazy,PG-13,Movie,91 min
Go! Go! Cory Carson,TV-Y,TV Show,5 Seasons
Mother Goose Club,TV-Y,TV Show,2 Seasons
Walk of Shame,R,Movie,94 min
The Piano,R,Movie,121 min
Brand New Cherry Flavor,TV-MA,TV Show,1 Season
Fast & Furious Spy Racers,TV-Y7,TV Show,5 Seasons
Grace and Frankie,TV-MA,TV Show,7 Seasons
Monster Hunter: Legends of the Guild,TV-PG,Movie,59 min
Bake Squad,TV-PG,TV Show,1 Season
The Kissing Booth 3,TV-14,Movie,114 min
Gabby's Dollhouse,TV-Y,TV Show,2 Seasons
Untold: Malice at the Palace,TV-MA,Movie,70 min
The Paper Tigers,PG-13,Movie,111 min
Hit & Run,TV-MA,TV Show,1 Season
Vivo,PG,Movie,100 min
Aftermath,TV-MA,Movie,115 min
American Masters: Inventing David Geffen,TV-MA,Movie,115 min
Cocaine Cowboys: The Kings of Miami,TV-MA,TV Show,1 Season
Cooking With Paris,TV-MA,TV Show,1 Season
Heavy,R,Movie,104 min
Ije: The Journey,TV-MA,Movie,106 min
Pray Away,PG-13,Movie,102 min
30 Rock,TV-14,TV Show,7 Seasons
Beethoven,PG,Movie,87 min
Beethoven's 2nd,PG,Movie,88 min
Beowulf,PG-13,Movie,114 min
Boyka: Undisputed,R,Movie,90 min
Catch Me If You Can,PG-13,Movie,142 min
Cloudy with a Chance of Meatballs,PG,Movie,90 min
Deep Blue Sea,R,Movie,105 min
Ferris Bueller's Day Off,PG-13,Movie,103 min
Five Feet Apart,PG-13,Movie,116 min
Freedomland,R,Movie,113 min
Good Luck Chuck,R,Movie,99 min
Inception,PG-13,Movie,148 min
Magnolia,R,Movie,189 min
Major Payne,PG-13,Movie,97 min
My Girl,PG-13,Movie,102 min
My Girl 2,PG,Movie,99 min
Open Season: Scared Silly,PG,Movie,85 min
Pineapple Express,R,Movie,112 min
Planet 51,PG,Movie,91 min
Poms,PG-13,Movie,91 min
Seabiscuit,PG-13,Movie,141 min
Space Cowboys,PG-13,Movie,130 min
Team America: World Police,R,Movie,98 min
The Edge of Seventeen,R,Movie,105 min
The Haunting in Connecticut 2: Ghosts of Georgia,R,Movie,101 min
The Last Boy Scout,R,Movie,105 min
The Lincoln Lawyer,R,Movie,118 min
The Losers,PG-13,Movie,97 min
The Machinist,R,Movie,102 min
The Net,PG-13,Movie,114 min
The Original Kings of Comedy,R,Movie,111 min
Valentine's Day,PG-13,Movie,125 min
Charmed,TV-14,TV Show,3 Seasons
Outer Banks,TV-MA,TV Show,2 Seasons
Fantastic Fungi,TV-14,Movie,81 min
The Flash,TV-14,TV Show,7 Seasons
All American,TV-14,TV Show,3 Seasons
Mighty Express,TV-Y,TV Show,4 Seasons
The Operative,TV-MA,Movie,117 min
The Walking Dead,TV-MA,TV Show,10 Seasons
Wynonna Earp,TV-MA,TV Show,4 Seasons
Django Unchained,R,Movie,165 min
The Movies That Made Us,TV-MA,TV Show,2 Seasons
Chicago Med,TV-14,TV Show,5 Seasons
Milkwater,TV-MA,Movie,102 min
Cosmic Sin,R,Movie,88 min
Explained,TV-MA,TV Show,3 Seasons
Johnny Test,TV-Y7,TV Show,1 Season
The Beguiled,R,Movie,94 min
The Book of Henry,PG-13,Movie,105 min
The Twilight Saga: Breaking Dawn: Part 1,PG-13,Movie,117 min
The Twilight Saga: Breaking Dawn: Part 2,PG-13,Movie,115 min
The Twilight Saga: Eclipse,PG-13,Movie,124 min
The Twilight Saga: New Moon,PG-13,Movie,131 min
Twilight,PG-13,Movie,122 min
Never Have I Ever,TV-14,TV Show,2 Seasons
Surf's Up,PG,Movie,86 min
This Changes Everything,TV-MA,Movie,96 min
American Woman,TV-MA,Movie,87 min
Ridley Jones,TV-Y,TV Show,1 Season
Born to Play,TV-MA,Movie,93 min
American Ultra,R,Movie,96 min
Atypical,TV-14,TV Show,4 Seasons
Ratchet and Clank,PG,Movie,94 min
Virgin River,TV-14,TV Show,3 Seasons
Back to Q82,TV-14,Movie,104 min
Home Again,PG-13,Movie,97 min
Midnight Sun,PG-13,Movie,91 min
RESIDENT EVIL: Infinite Darkness,TV-MA,TV Show,1 Season
Rock the Kasbah,R,Movie,106 min
Brick Mansions,PG-13,Movie,90 min
Dogs,TV-PG,TV Show,2 Seasons
Ask the StoryBots,TV-Y,TV Show,3 Seasons
Chelsea,TV-MA,TV Show,2 Seasons
Colony,TV-14,TV Show,3 Seasons
I Think You Should Leave with Tim Robinson,TV-MA,TV Show,2 Seasons
My Little Pony: Friendship Is Magic,TV-Y,TV Show,8 Seasons
Orange Is the New Black,TV-MA,TV Show,7 Seasons
Puffin Rock,TV-Y,TV Show,2 Seasons
Richie Rich,TV-G,TV Show,2 Seasons
Scream,TV-MA,TV Show,3 Seasons
We the People,TV-Y7,TV Show,1 Season
Grey's Anatomy,TV-14,TV Show,17 Seasons
Winchester,PG-13,Movie,100 min
6 Bullets,R,Movie,115 min
Air Force One,R,Movie,125 min
Austin Powers in Goldmember,PG-13,Movie,94 min
Austin Powers: International Man of Mystery,PG-13,Movie,90 min
Austin Powers: The Spy Who Shagged Me,PG-13,Movie,95 min
Boogie Nights,R,Movie,155 min
Charlie's Angels,PG-13,Movie,98 min
Congo,PG-13,Movie,108 min
Dennis the Menace,PG,Movie,96 min
Kung Fu Panda,PG,Movie,94 min
Kung Fu Panda 2,PG,Movie,93 min
Life as We Know It,PG-13,Movie,115 min
Mary Magdalene,R,Movie,120 min
Memoirs of a Geisha,PG-13,Movie,145 min
Midnight Run,R,Movie,126 min
Mortal Kombat,PG-13,Movie,101 min
Mother's Day,PG-13,Movie,118 min
No Strings Attached,R,Movie,109 min
Not Another Teen Movie,R,Movie,89 min
Ophelia,PG-13,Movie,106 min
Rainbow Rangers,TV-Y,TV Show,1 Season
Seven Pounds,PG-13,Movie,123 min
She's Out of My League,R,Movie,106 min
Snow Day,PG,Movie,89 min
Star Trek,PG-13,Movie,128 min
Stuart Little,PG,Movie,85 min
Sword of Trust,R,Movie,89 min
Talladega Nights: The Ballad of Ricky Bobby,PG-13,Movie,108 min
The American,R,Movie,105 min
The Best of Enemies,PG-13,Movie,133 min
The Game,R,Movie,129 min
The Karate Kid,PG,Movie,127 min
The Karate Kid Part II,PG,Movie,113 min
The Karate Kid Part III,PG,Movie,112 min
The Life of David Gale,R,Movie,130 min
The Long Riders,R,Movie,100 min
